model,dataset,top_k_pct,accuracy,n_traces,n_total,mean_confidence
DS-R1-7B,GPQA,30,41.7,2151,7168,0.3099
DS-R1-7B,GPQA,50,43.64,3584,7168,0.2631
DS-R1-7B,GPQA,70,46.68,5017,7168,0.2298
DS-R1-7B,GPQA,100,50.74,7168,7168,0.1917
DS-R1-7B,GSM8K,10,96.92,2111,21104,0.4301
DS-R1-7B,GSM8K,20,96.14,4221,21104,0.4034
DS-R1-7B,GSM8K,30,95.75,6331,21104,0.3852
DS-R1-7B,GSM8K,50,94.85,10552,21104,0.3573
DS-R1-7B,GSM8K,70,94.13,14773,21104,0.3336
DS-R1-7B,GSM8K,100,90.28,21104,21104,0.2943
DS-R1-7B,MATH500,10,77.25,800,8000,0.4419
DS-R1-7B,MATH500,20,76.31,1600,8000,0.4022
DS-R1-7B,MATH500,30,75.33,2400,8000,0.3758
DS-R1-7B,MATH500,50,72.52,4000,8000,0.3383
DS-R1-7B,MATH500,70,68.57,5600,8000,0.3088
DS-R1-7B,MATH500,100,60.41,8000,8000,0.2688
DS-R1-7B,SVAMP,10,96.25,1600,16000,0.3907
DS-R1-7B,SVAMP,20,96.12,3200,16000,0.3623
DS-R1-7B,SVAMP,30,95.88,4800,16000,0.3428
DS-R1-7B,SVAMP,50,95.75,8000,16000,0.3139
DS-R1-7B,SVAMP,70,95.34,11200,16000,0.2906
DS-R1-7B,SVAMP,100,91.91,16000,16000,0.2552
Gemma-7B,AQuA,10,13.51,407,4064,0.5902
Gemma-7B,AQuA,20,19.56,813,4064,0.4154
Gemma-7B,AQuA,30,23.63,1219,4064,0.3291
Gemma-7B,AQuA,50,27.31,2032,4064,0.2421
Gemma-7B,AQuA,70,28.15,2845,4064,0.1948
Gemma-7B,AQuA,100,27.88,4064,4064,0.1493
Gemma-7B,CommonsenseQA,10,15.51,1954,19536,0.9333
Gemma-7B,CommonsenseQA,20,18.3,3908,19536,0.854
Gemma-7B,CommonsenseQA,30,19.69,5861,19536,0.7292
Gemma-7B,CommonsenseQA,50,16.71,9768,19536,0.5213
Gemma-7B,CommonsenseQA,70,17.84,13675,19536,0.3926
Gemma-7B,CommonsenseQA,100,18.34,19536,19536,0.2804
Gemma-7B,GPQA,10,11.4,719,7168,0.4091
Gemma-7B,GPQA,20,7.95,1434,7168,0.3031
Gemma-7B,GPQA,30,9.02,2151,7168,0.2475
Gemma-7B,GPQA,50,15.26,3584,7168,0.1733
Gemma-7B,GPQA,70,19.08,5017,7168,0.1308
Gemma-7B,GPQA,100,20.68,7168,7168,0.0939
Gemma-7B,GSM8K,10,24.44,2111,21104,0.4328
Gemma-7B,GSM8K,20,33.07,4221,21104,0.3103
Gemma-7B,GSM8K,30,35.65,6331,21104,0.2561
Gemma-7B,GSM8K,50,36.59,10552,21104,0.1994
Gemma-7B,GSM8K,70,36.38,14773,21104,0.1662
Gemma-7B,GSM8K,100,32.64,21104,21104,0.1304
Gemma-7B,MATH500,10,4.0,800,8000,0.6404
Gemma-7B,MATH500,20,7.0,1600,8000,0.4881
Gemma-7B,MATH500,30,9.12,2400,8000,0.4016
Gemma-7B,MATH500,50,12.2,4000,8000,0.3048
Gemma-7B,MATH500,70,13.41,5600,8000,0.2475
Gemma-7B,MATH500,100,13.34,8000,8000,0.1888
Gemma-7B,SVAMP,10,21.94,1600,16000,0.4762
Gemma-7B,SVAMP,20,32.0,3200,16000,0.3208
Gemma-7B,SVAMP,30,36.12,4800,16000,0.2558
Gemma-7B,SVAMP,50,40.21,8000,16000,0.1917
Gemma-7B,SVAMP,70,42.27,11200,16000,0.1564
Gemma-7B,SVAMP,100,40.94,16000,16000,0.1209
LLaMA-3.1-8B,AQuA,10,56.76,407,4064,0.7634
LLaMA-3.1-8B,AQuA,20,50.55,813,4064,0.6831
LLaMA-3.1-8B,AQuA,30,45.53,1219,4064,0.6069
LLaMA-3.1-8B,AQuA,50,40.9,2032,4064,0.4823
LLaMA-3.1-8B,AQuA,70,42.57,2845,4064,0.3965
LLaMA-3.1-8B,AQuA,100,44.34,4064,4064,0.3065
LLaMA-3.1-8B,CommonsenseQA,10,68.27,1954,19536,0.7365
LLaMA-3.1-8B,CommonsenseQA,20,68.37,3908,19536,0.6788
LLaMA-3.1-8B,CommonsenseQA,30,68.11,5861,19536,0.6338
LLaMA-3.1-8B,CommonsenseQA,50,67.07,9768,19536,0.5569
LLaMA-3.1-8B,CommonsenseQA,70,66.27,13675,19536,0.4892
LLaMA-3.1-8B,CommonsenseQA,100,65.02,19536,19536,0.3903
LLaMA-3.1-8B,GPQA,10,38.91,717,7168,0.5064
LLaMA-3.1-8B,GPQA,20,40.93,1434,7168,0.4288
LLaMA-3.1-8B,GPQA,30,41.47,2151,7168,0.3808
LLaMA-3.1-8B,GPQA,50,38.62,3584,7168,0.32
LLaMA-3.1-8B,GPQA,70,36.2,5017,7168,0.28
LLaMA-3.1-8B,GPQA,100,35.49,7168,7168,0.2331
LLaMA-3.1-8B,GSM8K,10,82.85,2111,21104,0.8
LLaMA-3.1-8B,GSM8K,20,77.49,4221,21104,0.7165
LLaMA-3.1-8B,GSM8K,30,75.25,6331,21104,0.6048
LLaMA-3.1-8B,GSM8K,50,78.03,10552,21104,0.4603
LLaMA-3.1-8B,GSM8K,70,78.39,14773,21104,0.3809
LLaMA-3.1-8B,GSM8K,100,75.33,21104,21104,0.3019
LLaMA-3.1-8B,MATH500,10,54.5,800,8000,0.7485
LLaMA-3.1-8B,MATH500,20,44.19,1600,8000,0.6563
LLaMA-3.1-8B,MATH500,30,39.29,2400,8000,0.5734
LLaMA-3.1-8B,MATH500,50,35.72,4000,8000,0.4566
LLaMA-3.1-8B,MATH500,70,35.36,5600,8000,0.383
LLaMA-3.1-8B,MATH500,100,34.9,8000,8000,0.3044
LLaMA-3.1-8B,SVAMP,10,86.19,1600,16000,0.8266
LLaMA-3.1-8B,SVAMP,20,78.88,3200,16000,0.6921
LLaMA-3.1-8B,SVAMP,30,79.79,4800,16000,0.5563
LLaMA-3.1-8B,SVAMP,50,81.66,8000,16000,0.4187
LLaMA-3.1-8B,SVAMP,70,82.38,11200,16000,0.3456
LLaMA-3.1-8B,SVAMP,100,80.82,16000,16000,0.2736
Phi-4,AQuA,10,53.32,407,4064,0.5288
Phi-4,AQuA,20,53.26,813,4064,0.4616
Phi-4,AQuA,30,52.83,1219,4064,0.4144
Phi-4,AQuA,50,52.85,2032,4064,0.3476
Phi-4,AQuA,70,52.72,2845,4064,0.3001
Phi-4,AQuA,100,53.96,4064,4064,0.2441
Phi-4,CommonsenseQA,10,65.76,1954,19536,0.3489
Phi-4,CommonsenseQA,20,58.01,3908,19536,0.2972
Phi-4,CommonsenseQA,30,54.72,5861,19536,0.2689
Phi-4,CommonsenseQA,50,54.95,9769,19536,0.2324
Phi-4,CommonsenseQA,70,57.18,13675,19536,0.2041
Phi-4,CommonsenseQA,100,49.45,19536,19536,0.1633
Phi-4,GPQA,10,17.43,717,7168,0.5762
Phi-4,GPQA,20,16.44,1442,7168,0.4899
Phi-4,GPQA,30,17.29,2151,7168,0.4322
Phi-4,GPQA,50,19.78,3584,7168,0.3518
Phi-4,GPQA,70,23.76,5017,7168,0.2962
Phi-4,GPQA,100,26.09,7168,7168,0.2308
Phi-4,GSM8K,10,62.58,2111,21104,0.5179
Phi-4,GSM8K,20,62.73,4221,21104,0.4499
Phi-4,GSM8K,30,63.01,6331,21104,0.4022
Phi-4,GSM8K,50,61.44,10552,21104,0.3334
Phi-4,GSM8K,70,62.84,14773,21104,0.2859
Phi-4,GSM8K,100,65.5,21104,21104,0.232
Phi-4,MATH500,10,60.75,800,8000,0.6897
Phi-4,MATH500,20,58.56,1600,8000,0.6282
Phi-4,MATH500,30,56.58,2400,8000,0.5822
Phi-4,MATH500,50,55.78,4000,8000,0.5023
Phi-4,MATH500,70,54.98,5600,8000,0.4304
Phi-4,MATH500,100,55.3,8000,8000,0.3425
Phi-4,SVAMP,10,47.31,1600,16000,0.5305
Phi-4,SVAMP,20,52.03,3200,16000,0.4535
Phi-4,SVAMP,30,54.06,4800,16000,0.4038
Phi-4,SVAMP,50,54.86,8000,16000,0.336
Phi-4,SVAMP,70,55.0,11200,16000,0.2888
Phi-4,SVAMP,100,57.04,16000,16000,0.2342
Phi-4-Reas.,AQuA,10,73.46,407,4064,0.3296
Phi-4-Reas.,AQuA,20,71.83,813,4064,0.2773
Phi-4-Reas.,AQuA,30,71.37,1219,4064,0.2514
Phi-4-Reas.,AQuA,50,67.37,2032,4064,0.2192
Phi-4-Reas.,AQuA,70,64.36,2845,4064,0.1966
Phi-4-Reas.,AQuA,100,58.44,4064,4064,0.1686
Phi-4-Reas.,CommonsenseQA,10,67.2,1954,19536,0.4734
Phi-4-Reas.,CommonsenseQA,20,75.33,3908,19536,0.3389
Phi-4-Reas.,CommonsenseQA,30,77.34,5861,19536,0.2645
Phi-4-Reas.,CommonsenseQA,50,78.71,9768,19536,0.1894
Phi-4-Reas.,CommonsenseQA,70,77.47,13675,19536,0.1524
Phi-4-Reas.,CommonsenseQA,100,74.17,19536,19536,0.1197
Phi-4-Reas.,GPQA,10,56.21,717,7168,0.3562
Phi-4-Reas.,GPQA,20,58.79,1434,7168,0.2545
Phi-4-Reas.,GPQA,30,57.51,2151,7168,0.2109
Phi-4-Reas.,GPQA,50,54.27,3584,7168,0.1676
Phi-4-Reas.,GPQA,70,51.43,5017,7168,0.1438
Phi-4-Reas.,GPQA,100,47.31,7168,7168,0.1173
Phi-4-Reas.,GSM8K,10,96.02,2111,21104,0.3618
Phi-4-Reas.,GSM8K,20,97.2,4221,21104,0.3042
Phi-4-Reas.,GSM8K,30,97.17,6331,21104,0.2749
Phi-4-Reas.,GSM8K,50,97.15,10552,21104,0.2394
Phi-4-Reas.,GSM8K,70,96.65,14773,21104,0.2147
Phi-4-Reas.,GSM8K,100,94.86,21104,21104,0.182
Phi-4-Reas.,MATH500,10,88.5,800,8000,0.3846
Phi-4-Reas.,MATH500,20,90.0,1600,8000,0.3334
Phi-4-Reas.,MATH500,30,91.17,2400,8000,0.305
Phi-4-Reas.,MATH500,50,90.85,4000,8000,0.2686
Phi-4-Reas.,MATH500,70,89.21,5600,8000,0.2418
Phi-4-Reas.,MATH500,100,84.71,8000,8000,0.2063
Phi-4-Reas.,SVAMP,10,94.5,1600,16000,0.3629
Phi-4-Reas.,SVAMP,20,95.88,3200,16000,0.2948
Phi-4-Reas.,SVAMP,30,96.42,4800,16000,0.2609
Phi-4-Reas.,SVAMP,50,96.31,8000,16000,0.221
Phi-4-Reas.,SVAMP,70,95.41,11200,16000,0.1944
Phi-4-Reas.,SVAMP,100,94.25,16000,16000,0.1618
Qwen2.5-7B,AQuA,10,86.49,407,4064,0.8607
Qwen2.5-7B,AQuA,20,80.69,813,4064,0.8329
Qwen2.5-7B,AQuA,30,77.44,1219,4064,0.8084
Qwen2.5-7B,AQuA,50,66.58,2032,4064,0.7596
Qwen2.5-7B,AQuA,70,59.65,2845,4064,0.7011
Qwen2.5-7B,AQuA,100,62.57,4064,4064,0.5917
Qwen2.5-7B,CommonsenseQA,10,82.29,1954,19536,0.3544
Qwen2.5-7B,CommonsenseQA,20,86.03,3908,19536,0.2892
Qwen2.5-7B,CommonsenseQA,30,86.15,5861,19536,0.2602
Qwen2.5-7B,CommonsenseQA,50,85.1,9768,19536,0.2287
Qwen2.5-7B,CommonsenseQA,70,83.55,13675,19536,0.209
Qwen2.5-7B,CommonsenseQA,100,81.11,19536,19536,0.1846
Qwen2.5-7B,GPQA,10,39.61,717,7168,0.5961
Qwen2.5-7B,GPQA,20,37.94,1434,7168,0.5466
Qwen2.5-7B,GPQA,30,36.36,2151,7168,0.5135
Qwen2.5-7B,GPQA,50,35.27,3584,7168,0.4634
Qwen2.5-7B,GPQA,70,34.48,5017,7168,0.4205
Qwen2.5-7B,GPQA,100,33.79,7168,7168,0.3539
Qwen2.5-7B,GSM8K,10,62.62,2111,21104,0.8826
Qwen2.5-7B,GSM8K,20,61.48,4221,21104,0.8584
Qwen2.5-7B,GSM8K,30,61.24,6331,21104,0.8343
Qwen2.5-7B,GSM8K,50,64.6,10552,21104,0.7466
Qwen2.5-7B,GSM8K,70,72.61,14773,21104,0.6437
Qwen2.5-7B,GSM8K,100,77.55,21104,21104,0.531
Qwen2.5-7B,MATH500,10,53.5,800,8000,0.8737
Qwen2.5-7B,MATH500,20,51.0,1600,8000,0.8498
Qwen2.5-7B,MATH500,30,49.54,2400,8000,0.8293
Qwen2.5-7B,MATH500,50,46.18,4000,8000,0.7867
Qwen2.5-7B,MATH500,70,45.23,5600,8000,0.733
Qwen2.5-7B,MATH500,100,51.31,8000,8000,0.6275
Qwen2.5-7B,SVAMP,10,62.25,1600,16000,0.8977
Qwen2.5-7B,SVAMP,20,61.72,3200,16000,0.8706
Qwen2.5-7B,SVAMP,30,62.29,4800,16000,0.8396
Qwen2.5-7B,SVAMP,50,66.95,8000,16000,0.7239
Qwen2.5-7B,SVAMP,70,75.1,11200,16000,0.6142
Qwen2.5-7B,SVAMP,100,80.38,16000,16000,0.4996
Qwen2.5-Math,AQuA,10,47.91,407,4064,0.6051
Qwen2.5-Math,AQuA,20,48.95,813,4064,0.5334
Qwen2.5-Math,AQuA,30,50.45,1219,4064,0.488
Qwen2.5-Math,AQuA,50,51.92,2032,4064,0.426
Qwen2.5-Math,AQuA,70,53.85,2845,4064,0.3801
Qwen2.5-Math,AQuA,100,54.21,4064,4064,0.3155
Qwen2.5-Math,CommonsenseQA,10,50.72,1954,19536,0.2919
Qwen2.5-Math,CommonsenseQA,20,50.38,3908,19536,0.2382
Qwen2.5-Math,CommonsenseQA,30,50.2,5861,19536,0.205
Qwen2.5-Math,CommonsenseQA,50,50.51,9768,19536,0.1658
Qwen2.5-Math,CommonsenseQA,70,49.96,13675,19536,0.1426
Qwen2.5-Math,CommonsenseQA,100,47.28,19536,19536,0.1167
Qwen2.5-Math,GPQA,10,39.19,717,7168,0.3671
Qwen2.5-Math,GPQA,20,37.03,1434,7168,0.3087
Qwen2.5-Math,GPQA,30,35.66,2151,7168,0.2723
Qwen2.5-Math,GPQA,50,33.62,3584,7168,0.2235
Qwen2.5-Math,GPQA,70,31.95,5017,7168,0.1917
Qwen2.5-Math,GPQA,100,29.99,7168,7168,0.1565
Qwen2.5-Math,GSM8K,10,55.42,2111,21104,0.5657
Qwen2.5-Math,GSM8K,20,61.38,4221,21104,0.511
Qwen2.5-Math,GSM8K,30,64.38,6331,21104,0.4776
Qwen2.5-Math,GSM8K,50,67.87,10552,21104,0.4309
Qwen2.5-Math,GSM8K,70,70.46,14773,21104,0.3938
Qwen2.5-Math,GSM8K,100,71.17,21104,21104,0.3373
Qwen2.5-Math,MATH500,10,61.0,800,8000,0.6103
Qwen2.5-Math,MATH500,20,62.56,1600,8000,0.5667
Qwen2.5-Math,MATH500,30,63.38,2400,8000,0.5391
Qwen2.5-Math,MATH500,50,65.3,4000,8000,0.4991
Qwen2.5-Math,MATH500,70,64.59,5600,8000,0.4667
Qwen2.5-Math,MATH500,100,61.08,8000,8000,0.4145
Qwen2.5-Math,SVAMP,10,44.75,1600,16000,0.5574
Qwen2.5-Math,SVAMP,20,57.41,3200,16000,0.4928
Qwen2.5-Math,SVAMP,30,63.38,4800,16000,0.4547
Qwen2.5-Math,SVAMP,50,70.44,8000,16000,0.4035
Qwen2.5-Math,SVAMP,70,73.41,11200,16000,0.3651
Qwen2.5-Math,SVAMP,100,75.79,16000,16000,0.3104
Qwen3-4B,AQuA,10,53.32,407,4064,0.3935
Qwen3-4B,AQuA,20,53.38,813,4064,0.3644
Qwen3-4B,AQuA,30,51.76,1219,4064,0.3463
Qwen3-4B,AQuA,50,51.57,2032,4064,0.3208
Qwen3-4B,AQuA,70,49.42,2845,4064,0.3018
Qwen3-4B,AQuA,100,49.41,4064,4064,0.2758
Qwen3-4B,CommonsenseQA,10,84.49,1954,19536,0.3064
Qwen3-4B,CommonsenseQA,20,78.33,3908,19536,0.276
Qwen3-4B,CommonsenseQA,30,74.95,5861,19536,0.2621
Qwen3-4B,CommonsenseQA,50,70.77,9768,19536,0.2461
Qwen3-4B,CommonsenseQA,70,68.41,13675,19536,0.2348
Qwen3-4B,CommonsenseQA,100,68.02,19536,19536,0.2155
Qwen3-4B,GPQA,10,62.9,717,7168,0.3807
Qwen3-4B,GPQA,20,58.23,1434,7168,0.3351
Qwen3-4B,GPQA,30,57.74,2151,7168,0.3099
Qwen3-4B,GPQA,50,56.72,3584,7168,0.2777
Qwen3-4B,GPQA,70,57.29,5017,7168,0.2559
Qwen3-4B,GPQA,100,58.29,7168,7168,0.2303
Qwen3-4B,GSM8K,10,92.14,2111,21104,0.3984
Qwen3-4B,GSM8K,20,91.12,4221,21104,0.3581
Qwen3-4B,GSM8K,30,88.63,6331,21104,0.3346
Qwen3-4B,GSM8K,50,83.41,10552,21104,0.3046
Qwen3-4B,GSM8K,70,78.58,14773,21104,0.2843
Qwen3-4B,GSM8K,100,73.68,21104,21104,0.2593
Qwen3-4B,MATH500,10,27.0,800,8000,0.502
Qwen3-4B,MATH500,20,31.06,1600,8000,0.4716
Qwen3-4B,MATH500,30,34.83,2400,8000,0.4511
Qwen3-4B,MATH500,50,39.02,4000,8000,0.42
Qwen3-4B,MATH500,70,42.75,5600,8000,0.394
Qwen3-4B,MATH500,100,44.6,8000,8000,0.3539
Qwen3-4B,SVAMP,10,88.0,1600,16000,0.3924
Qwen3-4B,SVAMP,20,87.94,3200,16000,0.349
Qwen3-4B,SVAMP,30,86.88,4800,16000,0.3246
Qwen3-4B,SVAMP,50,83.93,8000,16000,0.294
Qwen3-4B,SVAMP,70,80.39,11200,16000,0.2739
Qwen3-4B,SVAMP,100,76.23,16000,16000,0.25
