k_sub,model,dataset,mean_gap_pp,ref_gap_pp_k16,sign_k,sign_k16,sign_agrees
8,DS-R1-1.5B,AQuA,15.0413,15.9449,1,1,1
8,DS-R1-1.5B,CommonsenseQA,-0.5811,-0.5016,0,0,1
8,DS-R1-1.5B,GPQA,-6.6641,-6.9196,-1,-1,1
8,DS-R1-1.5B,GSM8K,10.6626,11.0406,1,1,1
8,DS-R1-1.5B,MATH500,13.912,14.3,1,1,1
8,DS-R1-1.5B,SVAMP,4.6445,5.1125,1,1,1
8,DS-R1-7B,AQuA,8.2933,8.1201,1,1,1
8,DS-R1-7B,CommonsenseQA,-0.4034,0.0205,0,0,1
8,DS-R1-7B,GPQA,-13.7288,-14.3694,-1,-1,1
8,DS-R1-7B,GSM8K,1.1797,1.3457,0,0,1
8,DS-R1-7B,MATH500,5.99,6.125,1,1,1
8,DS-R1-7B,SVAMP,0.4835,0.5625,0,0,1
8,Gemma-7B,AQuA,-0.5709,-0.4429,0,0,1
8,Gemma-7B,CommonsenseQA,-1.5451,-1.9861,0,0,1
8,Gemma-7B,GPQA,-9.8672,-10.4911,-1,-1,1
8,Gemma-7B,GSM8K,8.3772,8.8798,1,1,1
8,Gemma-7B,MATH500,2.225,2.275,1,1,1
8,Gemma-7B,SVAMP,2.5265,2.975,1,1,1
8,LLaMA-3.1-8B,AQuA,-4.6693,-5.4134,-1,-1,1
8,LLaMA-3.1-8B,CommonsenseQA,-0.2518,-0.4095,0,0,1
8,LLaMA-3.1-8B,GPQA,3.8795,4.1853,1,1,1
8,LLaMA-3.1-8B,GSM8K,1.0322,1.0235,0,0,1
8,LLaMA-3.1-8B,MATH500,-0.941,-1.1,0,0,1
8,LLaMA-3.1-8B,SVAMP,-0.365,-0.25,0,0,1
8,Phi-4,AQuA,0.939,1.0335,0,0,1
8,Phi-4,CommonsenseQA,11.2088,9.7563,1,1,1
8,Phi-4,GPQA,-3.029,-4.1853,-1,-1,1
8,Phi-4,GSM8K,-5.8715,-5.9799,-1,-1,1
8,Phi-4,MATH500,3.997,4.35,1,1,1
8,Phi-4,SVAMP,-4.721,-5.0375,-1,-1,1
8,Phi-4-Reas.,AQuA,3.3957,3.7894,1,1,1
8,Phi-4-Reas.,CommonsenseQA,0.921,1.1261,0,0,1
8,Phi-4-Reas.,GPQA,5.4308,5.6083,1,1,1
8,Phi-4-Reas.,GSM8K,0.7259,0.7392,0,0,1
8,Phi-4-Reas.,MATH500,1.089,1.525,0,0,1
8,Phi-4-Reas.,SVAMP,-0.3965,-0.45,0,0,1
8,Qwen2.5-7B,AQuA,1.7815,1.1319,0,0,1
8,Qwen2.5-7B,CommonsenseQA,0.593,0.5426,0,0,1
8,Qwen2.5-7B,GPQA,1.8862,2.1763,0,1,0
8,Qwen2.5-7B,GSM8K,-19.757,-21.4367,-1,-1,1
8,Qwen2.5-7B,MATH500,-16.242,-17.475,-1,-1,1
8,Qwen2.5-7B,SVAMP,-19.7965,-21.4875,-1,-1,1
8,Qwen2.5-Math,AQuA,-3.1339,-3.3957,-1,-1,1
8,Qwen2.5-Math,CommonsenseQA,4.0483,4.3817,1,1,1
8,Qwen2.5-Math,GPQA,3.1551,3.125,1,1,1
8,Qwen2.5-Math,GSM8K,-6.6236,-6.9466,-1,-1,1
8,Qwen2.5-Math,MATH500,4.8,4.85,1,1,1
8,Qwen2.5-Math,SVAMP,-11.265,-11.3,-1,-1,1
8,Qwen3-4B,AQuA,3.9114,3.937,1,1,1
8,Qwen3-4B,CommonsenseQA,-2.6245,-2.9484,-1,-1,1
8,Qwen3-4B,GPQA,-4.3382,-4.2969,-1,-1,1
8,Qwen3-4B,GSM8K,15.5876,16.613,1,1,1
8,Qwen3-4B,MATH500,7.278,7.65,1,1,1
8,Qwen3-4B,SVAMP,13.5225,14.3375,1,1,1
12,DS-R1-1.5B,AQuA,15.5879,15.9449,1,1,1
12,DS-R1-1.5B,CommonsenseQA,-0.5389,-0.5016,0,0,1
12,DS-R1-1.5B,GPQA,-6.7768,-6.9196,-1,-1,1
12,DS-R1-1.5B,GSM8K,10.9133,11.0406,1,1,1
12,DS-R1-1.5B,MATH500,14.202,14.3,1,1,1
12,DS-R1-1.5B,SVAMP,4.9327,5.1125,1,1,1
12,DS-R1-7B,AQuA,8.6102,8.1201,1,1,1
12,DS-R1-7B,CommonsenseQA,-0.2959,0.0205,0,0,1
12,DS-R1-7B,GPQA,-14.2366,-14.3694,-1,-1,1
12,DS-R1-7B,GSM8K,1.2792,1.3457,0,0,1
12,DS-R1-7B,MATH500,6.1587,6.125,1,1,1
12,DS-R1-7B,SVAMP,0.4933,0.5625,0,0,1
12,Gemma-7B,AQuA,0.0656,-0.4429,0,0,1
12,Gemma-7B,CommonsenseQA,-1.7751,-1.9861,0,0,1
12,Gemma-7B,GPQA,-10.279,-10.4911,-1,-1,1
12,Gemma-7B,GSM8K,8.6884,8.8798,1,1,1
12,Gemma-7B,MATH500,2.3,2.275,1,1,1
12,Gemma-7B,SVAMP,2.775,2.975,1,1,1
12,LLaMA-3.1-8B,AQuA,-5.0459,-5.4134,-1,-1,1
12,LLaMA-3.1-8B,CommonsenseQA,-0.5201,-0.4095,0,0,1
12,LLaMA-3.1-8B,GPQA,3.9903,4.1853,1,1,1
12,LLaMA-3.1-8B,GSM8K,0.8635,1.0235,0,0,1
12,LLaMA-3.1-8B,MATH500,-1.1613,-1.1,0,0,1
12,LLaMA-3.1-8B,SVAMP,-0.3607,-0.25,0,0,1
12,Phi-4,AQuA,0.7441,1.0335,0,0,1
12,Phi-4,CommonsenseQA,10.3639,9.7563,1,1,1
12,Phi-4,GPQA,-3.7507,-4.1853,-1,-1,1
12,Phi-4,GSM8K,-6.0015,-5.9799,-1,-1,1
12,Phi-4,MATH500,4.2147,4.35,1,1,1
12,Phi-4,SVAMP,-4.7823,-5.0375,-1,-1,1
12,Phi-4-Reas.,AQuA,3.7926,3.7894,1,1,1
12,Phi-4-Reas.,CommonsenseQA,0.8665,1.1261,0,0,1
12,Phi-4-Reas.,GPQA,5.4695,5.6083,1,1,1
12,Phi-4-Reas.,GSM8K,0.6849,0.7392,0,0,1
12,Phi-4-Reas.,MATH500,1.3847,1.525,0,0,1
12,Phi-4-Reas.,SVAMP,-0.409,-0.45,0,0,1
12,Qwen2.5-7B,AQuA,1.4974,1.1319,0,0,1
12,Qwen2.5-7B,CommonsenseQA,0.635,0.5426,0,0,1
12,Qwen2.5-7B,GPQA,1.8713,2.1763,0,1,0
12,Qwen2.5-7B,GSM8K,-20.8102,-21.4367,-1,-1,1
12,Qwen2.5-7B,MATH500,-17.0,-17.475,-1,-1,1
12,Qwen2.5-7B,SVAMP,-20.8463,-21.4875,-1,-1,1
12,Qwen2.5-Math,AQuA,-3.4619,-3.3957,-1,-1,1
12,Qwen2.5-Math,CommonsenseQA,4.154,4.3817,1,1,1
12,Qwen2.5-Math,GPQA,3.1079,3.125,1,1,1
12,Qwen2.5-Math,GSM8K,-6.8479,-6.9466,-1,-1,1
12,Qwen2.5-Math,MATH500,4.952,4.85,1,1,1
12,Qwen2.5-Math,SVAMP,-11.4007,-11.3,-1,-1,1
12,Qwen3-4B,AQuA,4.3543,3.937,1,1,1
12,Qwen3-4B,CommonsenseQA,-2.7691,-2.9484,-1,-1,1
12,Qwen3-4B,GPQA,-4.372,-4.2969,-1,-1,1
12,Qwen3-4B,GSM8K,16.3371,16.613,1,1,1
12,Qwen3-4B,MATH500,7.7327,7.65,1,1,1
12,Qwen3-4B,SVAMP,14.0963,14.3375,1,1,1
16,DS-R1-1.5B,AQuA,15.9449,15.9449,1,1,1
16,DS-R1-1.5B,CommonsenseQA,-0.5016,-0.5016,0,0,1
16,DS-R1-1.5B,GPQA,-6.9196,-6.9196,-1,-1,1
16,DS-R1-1.5B,GSM8K,11.0406,11.0406,1,1,1
16,DS-R1-1.5B,MATH500,14.3,14.3,1,1,1
16,DS-R1-1.5B,SVAMP,5.1125,5.1125,1,1,1
16,DS-R1-7B,AQuA,8.1201,8.1201,1,1,1
16,DS-R1-7B,CommonsenseQA,0.0205,0.0205,0,0,1
16,DS-R1-7B,GPQA,-14.3694,-14.3694,-1,-1,1
16,DS-R1-7B,GSM8K,1.3457,1.3457,0,0,1
16,DS-R1-7B,MATH500,6.125,6.125,1,1,1
16,DS-R1-7B,SVAMP,0.5625,0.5625,0,0,1
16,Gemma-7B,AQuA,-0.4429,-0.4429,0,0,1
16,Gemma-7B,CommonsenseQA,-1.9861,-1.9861,0,0,1
16,Gemma-7B,GPQA,-10.4911,-10.4911,-1,-1,1
16,Gemma-7B,GSM8K,8.8798,8.8798,1,1,1
16,Gemma-7B,MATH500,2.275,2.275,1,1,1
16,Gemma-7B,SVAMP,2.975,2.975,1,1,1
16,LLaMA-3.1-8B,AQuA,-5.4134,-5.4134,-1,-1,1
16,LLaMA-3.1-8B,CommonsenseQA,-0.4095,-0.4095,0,0,1
16,LLaMA-3.1-8B,GPQA,4.1853,4.1853,1,1,1
16,LLaMA-3.1-8B,GSM8K,1.0235,1.0235,0,0,1
16,LLaMA-3.1-8B,MATH500,-1.1,-1.1,0,0,1
16,LLaMA-3.1-8B,SVAMP,-0.25,-0.25,0,0,1
16,Phi-4,AQuA,1.0335,1.0335,0,0,1
16,Phi-4,CommonsenseQA,9.7563,9.7563,1,1,1
16,Phi-4,GPQA,-4.1853,-4.1853,-1,-1,1
16,Phi-4,GSM8K,-5.9799,-5.9799,-1,-1,1
16,Phi-4,MATH500,4.35,4.35,1,1,1
16,Phi-4,SVAMP,-5.0375,-5.0375,-1,-1,1
16,Phi-4-Reas.,AQuA,3.7894,3.7894,1,1,1
16,Phi-4-Reas.,CommonsenseQA,1.1261,1.1261,0,0,1
16,Phi-4-Reas.,GPQA,5.6083,5.6083,1,1,1
16,Phi-4-Reas.,GSM8K,0.7392,0.7392,0,0,1
16,Phi-4-Reas.,MATH500,1.525,1.525,0,0,1
16,Phi-4-Reas.,SVAMP,-0.45,-0.45,0,0,1
16,Qwen2.5-7B,AQuA,1.1319,1.1319,0,0,1
16,Qwen2.5-7B,CommonsenseQA,0.5426,0.5426,0,0,1
16,Qwen2.5-7B,GPQA,2.1763,2.1763,1,1,1
16,Qwen2.5-7B,GSM8K,-21.4367,-21.4367,-1,-1,1
16,Qwen2.5-7B,MATH500,-17.475,-17.475,-1,-1,1
16,Qwen2.5-7B,SVAMP,-21.4875,-21.4875,-1,-1,1
16,Qwen2.5-Math,AQuA,-3.3957,-3.3957,-1,-1,1
16,Qwen2.5-Math,CommonsenseQA,4.3817,4.3817,1,1,1
16,Qwen2.5-Math,GPQA,3.125,3.125,1,1,1
16,Qwen2.5-Math,GSM8K,-6.9466,-6.9466,-1,-1,1
16,Qwen2.5-Math,MATH500,4.85,4.85,1,1,1
16,Qwen2.5-Math,SVAMP,-11.3,-11.3,-1,-1,1
16,Qwen3-4B,AQuA,3.937,3.937,1,1,1
16,Qwen3-4B,CommonsenseQA,-2.9484,-2.9484,-1,-1,1
16,Qwen3-4B,GPQA,-4.2969,-4.2969,-1,-1,1
16,Qwen3-4B,GSM8K,16.613,16.613,1,1,1
16,Qwen3-4B,MATH500,7.65,7.65,1,1,1
16,Qwen3-4B,SVAMP,14.3375,14.3375,1,1,1
