model,dataset,k_sub,frs_acc_mean,frs_acc_std,spearman_vs_k16_mean,spearman_vs_k16_std
Gemma-7B,CommonsenseQA,12,17.473666,0.23363867237375566,0.9936666666666666,0.00817190585796697
Gemma-7B,CommonsenseQA,16,17.3423,0.0,,
Gemma-7B,GPQA,4,16.745540000000002,1.1967387715566584,0.9898287917662656,0.010255011888540236
Gemma-7B,GPQA,8,15.717637999999999,0.7562466693170036,0.9918329846567724,0.008288826191402516
Gemma-7B,GPQA,12,15.540930000000001,0.3335640636996688,0.9935831589950529,0.008127076414972305
Gemma-7B,GPQA,16,15.4297,0.0,,
Gemma-7B,GSM8K,4,36.162244,0.7964008818146191,0.988,0.007559289460184578
Gemma-7B,GSM8K,8,36.740712,0.4871741278777727,0.9943333333333334,0.00797530201164014
Gemma-7B,GSM8K,12,36.958814000000004,0.26642285938725435,0.9986666666666666,0.004567458593631196
Gemma-7B,GSM8K,16,37.083,0.0,,
Gemma-7B,MATH500,4,14.234000000000002,0.7744939098059652,0.9922491283085977,0.008748218720224073
Gemma-7B,MATH500,8,14.448,0.37849864529453187,0.9934996513234391,0.008081117810164592
Gemma-7B,MATH500,12,14.478672,0.285292239026896,0.9927494769851586,0.00815303952089411
Gemma-7B,MATH500,16,14.475,0.0,,
Gemma-7B,SVAMP,4,42.06100000000001,0.7136633002491082,0.9835817613648838,0.007916002916966385
Gemma-7B,SVAMP,8,42.1535,0.4843734117814657,0.9878315870266035,0.008242506530085783
Gemma-7B,SVAMP,12,42.326004000000005,0.32295232033252763,0.9936666666666666,0.00817190585796694
Gemma-7B,SVAMP,16,42.425,0.0,,
LLaMA-3.1-8B,AQuA,4,42.531484,1.706580839987443,0.9805817613648838,0.018853485921694474
LLaMA-3.1-8B,AQuA,8,41.866144000000006,1.1379247305117357,0.9852337543767392,0.01927325175766166
LLaMA-3.1-8B,AQuA,12,41.818904,0.7007826245865744,0.9937494769851587,0.009861816958941125
LLaMA-3.1-8B,AQuA,16,41.6339,0.0,,
LLaMA-3.1-8B,CommonsenseQA,4,64.92220400000001,0.6737421198539594,0.9903333333333333,0.008309489698388196
LLaMA-3.1-8B,CommonsenseQA,8,64.90663599999999,0.4298575743054364,0.9906666666666666,0.00835710894037347
LLaMA-3.1-8B,CommonsenseQA,12,64.762774,0.24033942648356169,0.9936666666666666,0.00817190585796697
LLaMA-3.1-8B,CommonsenseQA,16,64.8137,0.0,,
LLaMA-3.1-8B,GPQA,4,37.220988000000006,1.2939575543680413,0.9898287917662656,0.010255011888540236
LLaMA-3.1-8B,GPQA,8,37.42634,0.880988177316489,0.9918329846567724,0.008288826191402516
LLaMA-3.1-8B,GPQA,12,37.492558,0.44760514217560116,0.9935831589950529,0.008127076414972305
LLaMA-3.1-8B,GPQA,16,37.5837,0.0,,
LLaMA-3.1-8B,GSM8K,4,75.97801199999999,0.511580477296602,0.988,0.007559289460184578
LLaMA-3.1-8B,GSM8K,8,75.893478,0.3179689012453621,0.9943333333333334,0.00797530201164014
LLaMA-3.1-8B,GSM8K,12,75.776098,0.20639697779981667,0.9986666666666666,0.004567458593631196
LLaMA-3.1-8B,GSM8K,16,75.8434,0.0,,
LLaMA-3.1-8B,MATH500,4,34.464,1.1898825186392414,0.9922491283085977,0.008748218720224073
LLaMA-3.1-8B,MATH500,8,34.424,0.7299874195169809,0.9934996513234391,0.008081117810164592
LLaMA-3.1-8B,MATH500,12,34.303334,0.3904298414123919,0.9927494769851586,0.00815303952089411
LLaMA-3.1-8B,MATH500,16,34.35,0.0,,
LLaMA-3.1-8B,SVAMP,4,80.712,0.5991115871668242,0.9835817613648838,0.007916002916966385
LLaMA-3.1-8B,SVAMP,8,80.639,0.37597356615722344,0.9878315870266035,0.008242506530085783
LLaMA-3.1-8B,SVAMP,12,80.62933600000001,0.21318702411023785,0.9936666666666666,0.00817190585796694
LLaMA-3.1-8B,SVAMP,16,80.7,0.0,,
Phi-4,AQuA,4,54.818909999999995,1.8573957328112143,0.9805817613648838,0.018853485921694474
Phi-4,AQuA,8,54.338584,1.0527442568596717,0.9852337543767392,0.01927325175766166
Phi-4,AQuA,12,54.34383,0.5658544084219994,0.9937494769851587,0.009861816958941125
Phi-4,AQuA,16,54.4783,0.0,,
Phi-4,CommonsenseQA,4,55.223608000000006,0.9280017414744396,0.9903333333333333,0.008309489698388196
Phi-4,CommonsenseQA,8,54.948815999999994,0.5250249554263196,0.9906666666666666,0.00835710894037347
Phi-4,CommonsenseQA,12,54.607448000000005,0.3436203097036264,0.9936666666666666,0.00817190585796697
Phi-4,CommonsenseQA,16,54.3305,0.0,,
Phi-4,GPQA,4,25.41517,1.367467514705746,0.9898287917662656,0.010255011888540236
Phi-4,GPQA,8,24.595983999999998,0.7392524468318923,0.9918329846567724,0.008288826191402516
Phi-4,GPQA,12,24.26339,0.44776729663830594,0.9935831589950529,0.008127076414972305
Phi-4,GPQA,16,23.995500000000003,0.0,,
Phi-4,GSM8K,4,62.891580000000005,0.802007286342797,0.988,0.007559289460184578
Phi-4,GSM8K,8,62.529196,0.4125798663363502,0.9943333333333334,0.00797530201164014
Phi-4,GSM8K,12,62.501132,0.30571158706419016,0.9986666666666666,0.004567458593631196
Phi-4,GSM8K,16,62.50950000000001,0.0,,
Phi-4,MATH500,4,57.18600000000001,1.4335641326599164,0.9922491283085977,0.008748218720224073
Phi-4,MATH500,8,57.369,0.7149917938732737,0.9934996513234391,0.008081117810164592
Phi-4,MATH500,12,57.443332,0.40290271142481743,0.9927494769851586,0.00815303952089411
Phi-4,MATH500,16,57.475,0.0,,
Phi-4,SVAMP,4,54.766999999999996,0.8316206209220991,0.9835817613648838,0.007916002916966385
Phi-4,SVAMP,8,54.707,0.447214736349512,0.9878315870266035,0.008242506530085783
Phi-4,SVAMP,12,54.648332,0.27559964858838487,0.9936666666666666,0.00817190585796694
Phi-4,SVAMP,16,54.525,0.0,,
Phi-4-Reas.,AQuA,4,59.842526,1.6071035045099498,0.9805817613648838,0.018853485921694474
Phi-4-Reas.,AQuA,8,59.970472,1.098218620115023,0.9852337543767392,0.01927325175766166
Phi-4-Reas.,AQuA,12,60.308401999999994,0.6400687981166168,0.9937494769851587,0.009861816958941125
Phi-4-Reas.,AQuA,16,60.3346,0.0,,
Phi-4-Reas.,CommonsenseQA,4,74.555284,0.707331233021817,0.9903333333333333,0.008309489698388196
Phi-4-Reas.,CommonsenseQA,8,74.613416,0.4151013096700575,0.9906666666666666,0.00835710894037347
Phi-4-Reas.,CommonsenseQA,12,74.604972,0.22519048267125863,0.9936666666666666,0.00817190585796697
Phi-4-Reas.,CommonsenseQA,16,74.7338,0.0,,
Phi-4-Reas.,GPQA,4,49.73214,1.3352897021139,0.9898287917662656,0.010255011888540236
Phi-4-Reas.,GPQA,8,49.936387999999994,0.8119659791405257,0.9918329846567724,0.008288826191402516
Phi-4-Reas.,GPQA,12,50.001484,0.4648276750516015,0.9935831589950529,0.008127076414972305
Phi-4-Reas.,GPQA,16,50.111599999999996,0.0,,
Phi-4-Reas.,GSM8K,4,95.237298,0.23301580527106494,0.988,0.007559289460184578
Phi-4-Reas.,GSM8K,8,95.21797000000001,0.13770833604516036,0.9943333333333334,0.00797530201164014
Phi-4-Reas.,GSM8K,12,95.20647199999999,0.07344375062673789,0.9986666666666666,0.004567458593631196
Phi-4-Reas.,GSM8K,16,95.2331,0.0,,
Phi-4-Reas.,MATH500,4,85.12200000000001,0.5747368519414706,0.9922491283085977,0.008748218720224073
Phi-4-Reas.,MATH500,8,85.27799999999999,0.3248484733106264,0.9934996513234391,0.008081117810164592
Phi-4-Reas.,MATH500,12,85.39733,0.2054698302000749,0.9927494769851586,0.00815303952089411
Phi-4-Reas.,MATH500,16,85.475,0.0,,
Phi-4-Reas.,SVAMP,4,94.094,0.2807860686119068,0.9835817613648838,0.007916002916966385
Phi-4-Reas.,SVAMP,8,94.0485,0.17824326990185563,0.9878315870266035,0.008242506530085783
Phi-4-Reas.,SVAMP,12,94.055662,0.10463687430971017,0.9936666666666666,0.00817190585796694
Phi-4-Reas.,SVAMP,16,94.025,0.0,,
Qwen2.5-7B,AQuA,4,63.488189999999996,1.5904062579756664,0.9805817613648838,0.018853485921694474
Qwen2.5-7B,AQuA,8,63.564964,1.0115293877841727,0.9852337543767392,0.01927325175766166
Qwen2.5-7B,AQuA,12,63.363512,0.6537063975048555,0.9937494769851587,0.009861816958941125
Qwen2.5-7B,AQuA,16,63.13980000000001,0.0,,
Qwen2.5-7B,CommonsenseQA,4,81.30794,0.3929692416690675,0.9903333333333333,0.008309489698388196
Qwen2.5-7B,CommonsenseQA,8,81.396816,0.25630611270948095,0.9906666666666666,0.00835710894037347
Qwen2.5-7B,CommonsenseQA,12,81.39065599999999,0.16434304733746274,0.9936666666666666,0.00817190585796697
Qwen2.5-7B,CommonsenseQA,16,81.378,0.0,,
Qwen2.5-7B,GPQA,4,34.819194,1.0991961664836032,0.9898287917662656,0.010255011888540236
Qwen2.5-7B,GPQA,8,34.687494,0.6583479442343171,0.9918329846567724,0.008288826191402516
Qwen2.5-7B,GPQA,12,34.705349999999996,0.458387336991638,0.9935831589950529,0.008127076414972305
Qwen2.5-7B,GPQA,16,34.8772,0.0,,
Qwen2.5-7B,GSM8K,4,68.81804600000001,0.7610865099290063,0.988,0.007559289460184578
Qwen2.5-7B,GSM8K,8,67.67475400000001,0.48041824304347086,0.9943333333333334,0.00797530201164014
Qwen2.5-7B,GSM8K,12,67.14683,0.2595481342248325,0.9986666666666666,0.004567458593631196
Qwen2.5-7B,GSM8K,16,66.8309,0.0,,
Qwen2.5-7B,MATH500,4,44.224,1.2043390938856167,0.9922491283085977,0.008748218720224073
Qwen2.5-7B,MATH500,8,43.161,0.7469864627355741,0.9934996513234391,0.008081117810164592
Qwen2.5-7B,MATH500,12,42.786668,0.46927805883731943,0.9927494769851586,0.00815303952089411
Qwen2.5-7B,MATH500,16,42.575,0.0,,
Qwen2.5-7B,SVAMP,4,71.744,0.9139865582006277,0.9835817613648838,0.007916002916966385
Qwen2.5-7B,SVAMP,8,70.48899999999999,0.46450983601545304,0.9878315870266035,0.008242506530085783
Qwen2.5-7B,SVAMP,12,69.928004,0.299626258324516,0.9936666666666666,0.00817190585796694
Qwen2.5-7B,SVAMP,16,69.6375,0.0,,
Qwen2.5-Math,AQuA,4,53.011827999999994,1.7963699275903666,0.9805817613648838,0.018853485921694474
Qwen2.5-Math,AQuA,8,52.51969,1.1718631589769115,0.9852337543767392,0.01927325175766166
Qwen2.5-Math,AQuA,12,52.38714,0.6150971965669243,0.9937494769851587,0.009861816958941125
Qwen2.5-Math,AQuA,16,52.5098,0.0,,
Qwen2.5-Math,CommonsenseQA,4,49.135118000000006,0.6667293021327689,0.9903333333333333,0.008309489698388196
Qwen2.5-Math,CommonsenseQA,8,49.247324,0.486758690816831,0.9906666666666666,0.00835710894037347
Qwen2.5-Math,CommonsenseQA,12,49.34942,0.2456665335659008,0.9936666666666666,0.00817190585796697
Qwen2.5-Math,CommonsenseQA,16,49.46759999999999,0.0,,
Qwen2.5-Math,GPQA,4,31.368302,1.3342303023810538,0.9898287917662656,0.010255011888540236
Qwen2.5-Math,GPQA,8,31.462048,0.7786428722764618,0.9918329846567724,0.008288826191402516
Qwen2.5-Math,GPQA,12,31.553564,0.4317778622752906,0.9935831589950529,0.008127076414972305
Qwen2.5-Math,GPQA,16,31.5569,0.0,,
Qwen2.5-Math,GSM8K,4,68.216078,0.7946417661090426,0.988,0.007559289460184578
Qwen2.5-Math,GSM8K,8,67.93859,0.43879777279307713,0.9943333333333334,0.00797530201164014
Qwen2.5-Math,GSM8K,12,67.760932,0.2452176929062948,0.9986666666666666,0.004567458593631196
Qwen2.5-Math,GSM8K,16,67.6933,0.0,,
Qwen2.5-Math,MATH500,4,63.16,0.6685347975312897,0.9922491283085977,0.008748218720224073
Qwen2.5-Math,MATH500,8,63.425,0.3846877875336704,0.9934996513234391,0.008081117810164592
Qwen2.5-Math,MATH500,12,63.515334,0.23963810181358072,0.9927494769851586,0.00815303952089411
Qwen2.5-Math,MATH500,16,63.5,0.0,,
Qwen2.5-Math,SVAMP,4,70.312,0.8583657942478224,0.9835817613648838,0.007916002916966385
Qwen2.5-Math,SVAMP,8,70.171,0.4996519196564029,0.9878315870266035,0.008242506530085783
Qwen2.5-Math,SVAMP,12,70.114002,0.2899992382044866,0.9936666666666666,0.00817190585796694
Qwen2.5-Math,SVAMP,16,70.1375,0.0,,
Qwen3-4B,AQuA,4,51.212610000000005,2.0959042546337465,0.9805817613648838,0.018853485921694474
Qwen3-4B,AQuA,8,51.466532,0.9998526651543859,0.9852337543767392,0.01927325175766166
Qwen3-4B,AQuA,12,51.656174,0.6539602705307477,0.9937494769851587,0.009861816958941125
Qwen3-4B,AQuA,16,51.378,0.0,,
Qwen3-4B,CommonsenseQA,4,66.756766,0.5332881300354726,0.9903333333333333,0.008309489698388196
Qwen3-4B,CommonsenseQA,8,66.69778000000001,0.33958581795343096,0.9906666666666666,0.00835710894037347
Qwen3-4B,CommonsenseQA,12,66.600336,0.19973495985369188,0.9936666666666666,0.00817190585796697
Qwen3-4B,CommonsenseQA,16,66.5438,0.0,,
Qwen3-4B,GPQA,4,56.225442,1.3486143582891563,0.9898287917662656,0.010255011888540236
Qwen3-4B,GPQA,8,56.050224,0.726279333612524,0.9918329846567724,0.008288826191402516
Qwen3-4B,GPQA,12,56.06325,0.4779820030127523,0.9935831589950529,0.008127076414972305
Qwen3-4B,GPQA,16,56.138400000000004,0.0,,
Qwen3-4B,GSM8K,4,80.626238,0.6538880556661482,0.988,0.007559289460184578
Qwen3-4B,GSM8K,8,81.432528,0.3584943673823879,0.9943333333333334,0.00797530201164014
Qwen3-4B,GSM8K,12,81.842304,0.205294546941905,0.9986666666666666,0.004567458593631196
Qwen3-4B,GSM8K,16,81.98449999999998,0.0,,
Qwen3-4B,MATH500,4,47.998000000000005,0.8469609537297784,0.9922491283085977,0.008748218720224073
Qwen3-4B,MATH500,8,48.313,0.5123784076764567,0.9934996513234391,0.008081117810164592
Qwen3-4B,MATH500,12,48.50466,0.30528061630879494,0.9927494769851586,0.00815303952089411
Qwen3-4B,MATH500,16,48.425,0.0,,
Qwen3-4B,SVAMP,4,81.969,0.7296134005661584,0.9835817613648838,0.007916002916966385
Qwen3-4B,SVAMP,8,82.954,0.4224672430243203,0.9878315870266035,0.008242506530085783
Qwen3-4B,SVAMP,12,83.24067199999999,0.2554442357293398,0.9936666666666666,0.00817190585796694
Qwen3-4B,SVAMP,16,83.4,0.0,,
